Internal ID Variant (Do Not Edit),Category,SKU,Items Name (Do Not Edit),ecommerce item? (Yes/No),Pre-order ? (Yes/No),Processing days,Weight (gm),Length (cm),Width (cm),Height (cm),Condition,Brand Name,Variant name,Basic - Price,Image 1 (for Online Store),Image 2 (for Online Store),Image 3 (for Online Store),Image 4 (for Online Store),Image 5 (for Online Store),Image 6 (for Online Store),Image 7 (for Online Store),Image 8 (for Online Store),Image 9 (for Online Store),Image 10 (for Online Store),Image 11 (for Online Store),Image 12 (for Online Store),Coffeeshop - Price,Barbershop - Price,In Stock,Track Stock,Track Alert,Stock Alert,Track Cost,Cost Amount,Modifier Set - Cashier - 384185
33139477,Pomade,,Suavecito Pomade,No,No,0,,,,,,Unbranded,Original,200000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,89684,No
33139478,Pomade,,Suavecito Pomade,No,No,0,,,,,,Unbranded,Firme Hold,200000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,0,No
33139479,Pomade,,Suavecito Pomade,No,No,0,,,,,,Unbranded,Hair Colour,130000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,49091,No
33139481,Pomade,,Suavecito Pomade,No,No,0,,,,,,Unbranded,Matte Pomade,200000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,0,No
33139527,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Benchmade,150000,,,,,,,,,,,,,,,2,Yes,Yes,5,Yes,30286,Yes
33139528,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Panjang,20000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
33139529,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Switch Blade,70000,,,,,,,,,,,,,,,1,Yes,Yes,5,Yes,2000,Yes
33139530,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Lipat Plastik,20000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
33139531,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Benchmade Plastik,50000,,,,,,,,,,,,,,,2,Yes,Yes,5,Yes,4400,Yes
33139532,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Kayu Lipat,100000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
33139533,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Kayu,50000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
33139534,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Jambang,60000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
33139535,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Bulat,20000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2528,Yes
33139536,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Mini,10000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,2000,Yes
62273687,Hair Product,,Sisir Rambut,No,No,0,,,,,,Unbranded,Sisir Blow,30000,,,,,,,,,,,,,,,0,Yes,Yes,0,Yes,3052,Yes
33139495,Member Card,,Member Card,No,No,0,,,,,,Unbranded,,25000,,,,,,,,,,,,,,,-918,Yes,No,0,Yes,5000,Yes
33139490,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Waterbase 80gr,130000,,,,,,,,,,,,,,,2,Yes,Yes,2,Yes,40000,Yes
33139491,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Waterbase 30gr,70000,,,,,,,,,,,,,,,11,Yes,Yes,2,Yes,25000,Yes
33139493,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Oilbase 80gr,100000,,,,,,,,,,,,,,,7,Yes,Yes,2,Yes,37000,Yes
33139494,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Oilbase 30gr,50000,,,,,,,,,,,,,,,17,Yes,Yes,2,Yes,23000,Yes
39711664,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Clay 80gr,130000,,,,,,,,,,,,,,,8,Yes,Yes,2,Yes,44965,Yes
161978514,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Clay 30gr,70000,,,,,,,,,,,,,,,6,Yes,Yes,2,Yes,24069,Yes
161978515,Pomade,,Redbox Pomade,No,No,0,,,,,,Unbranded,Redbox Hair Powder 10gr,120000,,,,,,,,,,,,,,,0,Yes,Yes,2,Yes,1,Yes
33139516,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Gentle Fever,250000,,,,,,,,,,,,,,,0,Yes,Yes,5,No,,Yes
33139517,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Hair Food,35000,,,,,,,,,,,,,,,0,Yes,Yes,5,No,,Yes
33139518,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Hair Tonic,35000,,,,,,,,,,,,,,,0,Yes,Yes,5,Yes,22,Yes
33139519,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Shampoo True Blonde,60000,,,,,,,,,,,,,,,0,Yes,Yes,5,No,,Yes
33139520,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Serum Blue,35000,,,,,,,,,,,,,,,0,Yes,Yes,5,No,,Yes
33139521,Treathment,,Hair Product,No,No,0,,,,,,Unbranded,Serum Almond,35000,,,,,,,,,,,,,,,0,Yes,Yes,5,No,,Yes
33139484,Tips,,TIPS,No,No,0,,,,,,Unbranded,,0,,,,,,,,,,,,,,,0,No,No,0,No,,No
34254027,Snack,,Pakkong,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,1,Yes,No,0,Yes,24000,No
39422951,Treathment,,Inaura Hair Nutrient,No,No,0,,,,,,Unbranded,,65000,,,,,,,,,,,,,,,6,Yes,Yes,3,Yes,5322,Yes
44064209,Coffee,,Long Black,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,23000,,-1748,Yes,Yes,0,No,,No
44064210,Coffee,,Long Black,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,23000,,-986,Yes,Yes,0,No,,No
44064223,Coffee,,Cappuccino,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,27000,,-1189,Yes,Yes,0,No,,No
44064224,Coffee,,Cappuccino,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,27000,,-798,Yes,Yes,0,No,,No
44064253,Coffee,,Cafe Latte,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,30000,,-903,Yes,Yes,0,No,,No
44064254,Coffee,,Cafe Latte,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,30000,,-876,Yes,Yes,0,No,,No
44064258,Coffee,,Senyawa Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-3193,Yes,Yes,0,Yes,1,No
46437062,Coffee,,Regal Coffee,No,No,0,,,,,,Unbranded,Hot,,,,,,,,,,,,,,30000,,-20,Yes,Yes,0,No,,No
44064278,Coffee,,Regal Coffee,No,No,0,,,,,,Unbranded,Ice,,,,,,,,,,,,,,30000,,-235,Yes,Yes,0,No,,No
44064281,Coffee,,Affogato,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-351,Yes,Yes,0,No,,No
44097657,Coffee,,Hazelnut Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-701,Yes,Yes,0,No,,No
44098738,Coffee,,Lemonade Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-361,Yes,Yes,0,No,,No
44098426,Coffee,,Irish Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,30000,,-239,Yes,Yes,0,No,,No
44064352,Coffee,,Vietnam Coffee,No,No,0,,,,,,Unbranded,,,,,,,,,,,,,,,25000,,-621,Yes,Yes,0,No,,No
